date,Retard livraison,isPartial
2023-03-26,0,False
2023-03-27,30,False
2023-03-28,99,False
2023-03-29,45,False
2023-03-30,27,False
2023-03-31,55,False
2023-04-01,41,False
2023-04-02,0,False
2023-04-03,26,False
2023-04-04,53,False
2023-04-05,48,False
2023-04-06,87,False
2023-04-07,0,False
2023-04-08,23,False
2023-04-09,76,False
2023-04-10,74,False
2023-04-11,46,False
2023-04-12,0,False
2023-04-13,34,False
2023-04-14,0,False
2023-04-15,28,False
2023-04-16,46,False
2023-04-17,23,False
2023-04-18,63,False
2023-04-19,58,False
2023-04-20,90,False
2023-04-21,33,False
2023-04-22,0,False
2023-04-23,0,False
2023-04-24,0,False
2023-04-25,0,False
2023-04-26,0,False
2023-04-27,42,False
2023-04-28,39,False
2023-04-29,38,False
2023-04-30,0,False
2023-05-01,0,False
2023-05-02,28,False
2023-05-03,28,False
2023-05-04,0,False
2023-05-05,41,False
2023-05-06,34,False
2023-05-07,20,False
2023-05-08,0,False
2023-05-09,85,False
2023-05-10,50,False
2023-05-11,56,False
2023-05-12,100,False
2023-05-13,0,False
2023-05-14,0,False
2023-05-15,33,False
2023-05-16,97,False
2023-05-17,55,False
2023-05-18,44,False
2023-05-19,0,False
2023-05-20,43,False
2023-05-21,0,False
2023-05-22,0,False
2023-05-23,33,False
2023-05-24,0,False
2023-05-25,0,False
2023-05-26,0,False
2023-05-27,0,False
2023-05-28,29,False
2023-05-29,40,False
2023-05-30,72,False
2023-05-31,39,False
2023-06-01,0,False
2023-06-02,39,False
2023-06-03,48,False
2023-06-04,36,False
2023-06-05,44,False
2023-06-06,22,False
2023-06-07,28,False
2023-06-08,56,False
2023-06-09,58,False
2023-06-10,41,False
2023-06-11,29,False
2023-06-12,76,False
2023-06-13,0,False
2023-06-14,93,False
2023-06-15,54,False
2023-06-16,60,False
2023-06-17,0,False
2023-06-18,21,False
2023-06-19,50,False
2023-06-20,35,False
2023-06-21,83,False
2023-06-22,52,False
2023-06-23,38,False
2023-06-24,21,False
